lat,lon,elevation
43.165,76.812,1056.0
43.162,76.903,1163.0
43.169,77.069,1936.0
43.192,76.902,996.0
43.097,76.942,1784.0
43.136,76.809,1531.0
43.191,76.827,906.0
43.088,77.051,3327.0
43.084,77.057,3508.0
43.069,77.035,3163.0
43.198,76.881,970.0
43.082,77.038,3437.0
43.161,76.857,1168.0
43.115,76.998,2347.0
43.079,77.019,2735.0
43.142,76.901,1233.0
43.148,76.975,1792.0
43.129,76.96,1756.0
43.134,76.911,1422.0
43.088,77.031,3341.0
43.154,77.007,1906.0
43.136,76.99,2091.0
43.121,76.943,1843.0
43.199,77.029,1569.0
43.068,77.074,3498.0
43.137,77.057,2388.0
43.134,76.843,1400.0
43.098,76.905,1661.0
43.114,76.918,1456.0
43.069,77.036,3198.0
43.127,76.845,1475.0
43.108,77.007,2821.0
43.119,76.914,1388.0
43.064,77.034,3110.0
43.195,77.04,1523.0
43.149,76.947,1453.0
43.162,76.902,1164.0
43.125,77.077,2186.0
43.169,76.963,1367.0
43.15,77.031,1844.0
43.118,77.031,3161.0
43.177,77.012,1300.0
43.181,76.857,1009.0
43.154,76.994,1884.0
43.181,76.838,973.0
43.136,76.873,1435.0
43.172,76.968,1406.0
43.169,76.89,1102.0
43.173,76.922,1113.0
43.147,76.88,1257.0
43.044,77.035,3437.0
43.162,77.086,2150.0
43.163,76.988,1550.0
43.077,77.027,2988.0
43.091,76.969,2230.0
43.177,76.797,951.0
43.179,77.122,2426.0
43.082,76.912,1988.0
43.09,77.044,3312.0
43.097,77.067,3156.0
43.107,77.038,3018.0
43.102,77.013,3096.0
43.051,77.043,3583.0
43.159,76.969,1474.0
43.112,77.057,2845.0
43.113,76.947,2092.0
43.114,77.016,2796.0
43.11,76.943,2160.0
43.108,77.006,2778.0
43.132,77.057,2236.0
43.135,76.839,1398.0
43.142,77.003,2222.0
43.142,76.845,1494.0
43.154,76.859,1210.0
43.085,76.927,2568.0
43.199,77.056,1725.0
43.148,77.02,1889.0
43.084,76.999,2556.0
43.151,76.84,1348.0
43.179,77.009,1324.0
43.106,76.932,1828.0
43.166,76.956,1311.0
43.152,77.05,2102.0
43.04,77.047,3577.0
43.121,76.978,1971.0
43.151,76.824,1214.0
43.186,77.091,1916.0
43.162,76.797,1060.0
43.168,76.963,1383.0
43.187,76.817,903.0
43.162,77.023,1618.0
